state,execution_order,max_state_count,analyzer,"queries (T,I)",bubble (R),action (R),action_input (R),state_data (R),success_value (R),failure_value (R)
help,1,0,"band(keyword(""help""))",,Ask me questions like... how to install? ...how to contribute? ...is it open source? ...how to install with docker? ...how to make a standalone installation? ...how to index data?,,,,,
further_details_access_question,1,0,"or(and(or(keyword(""problem.*""),keyword(""issue.*""),keyword(""trouble.*"")),keyword(""account"")))","[""cannot access account"", ""problem access account""]",Can you specify which of the following problems you have? [NB works only if buttons can be shown!],show_buttons,"{""Forgot Password"": ""forgot_password"", ""Account locked"": ""account_locked"", ""Specify your problem"": ""specify_problem"", ""I want to call an operator"": ""call_operator"", ""None of the above"": ""start""}","{""verification"": ""did you mean you can't access to your account?""}",eval(show_buttons),dont_understand
contribute,1,0,"bor(keyword(""contribute""))",,"To contribute to <a href=""http://git.io/*chat"">StarChat</a>, please send us a pull request from your fork of this repository.
<br>Our concise contribution guideline contains the bare minimum requirements of the code contributions.
<br>Before contributing (or opening issues), you might want to email us at starchat@getjenny.com.",,,,,
quickstart,1,0,"band(bor(keyword(""start""), keyword(""quickstart"")), keyword(""starchat""))",,"The easiest way is to install StarChat using two docker images. You only need:
<br>
<ul>
<li>sbt</li>
<li>docker</li>
<li>docker-compose</li>
</ul>

In this way, you will put all the indices in the Elasticsearch (version 5.3) image, and StarChat itself in the Java (8) image.
<br>
If you do not use docker you therefore need on your machine:
<br>
<ul>
<li>Scala 12.2</li>
<li>Elasticsearch 5.3</li>
</ul>
Just type “docker install” or “standalone install” to go on.
",,,,,
docker_install,1,0,"band(keyword(""docker""), keyword(""install.*""))",,"In the terminal, go into the root directory of StarChat, and generate a packet distribution:
<br>
<code>sbt dist</code>
<br>
Then enter the directory docker-starchat:
<br>
<code>cd  docker-starchat</code>
<br>
You will get a message like <code>Your package is ready in ...../target/universal/starchat-4ee.... .zip</code>.
<br>Extract the packet into the docker-starchat folder:
<br>
<code>unzip ../target/universal/starchat-4eee.....zip</code><br>
<code>ln -s starchat-4ee..../  starchat</code>
<br>
Now launch the dockers:
<br>
<code>docker-compose up -d</code>
<br>
If you have problems, tell me the output (eg <em>elastisearch exited with code 78</em>) otherwise type <em>create elasticsearch indices</em>.",,,,,
create_es_indices,1,0,"band(keyword(""create""), keyword(""elastic.*""),  bor(keyword(""index""),  keyword(""indices""),  keyword(""indeces""),  keyword(""indexes"")))",,"Run
<br>
<code>./docker-starchat/starchat/scripts/api_test/postIndexManagementCreate.sh</code>
<br>
(to delete previously created indexes: <code>./docker-starchat/starchat/scripts/api_test/deleteIndexManagement.sh</code>)
<br>
Now ask me how to <em>load configuration file</em>.
",,,,,
delete_es_indexes,1,0,"band(keyword(""delete""), bor(keyword(""index.*""), keyword(""indic.*"")))",,To delete previously created indexes:<br><code>./docker-starchat/starchat/scripts/api_test/deleteIndexManagement.sh</code>.,,,,,
create_es_indexes,1,0,"band(keyword(""create""), bor(keyword(""index.*""), keyword(""indic.*"")))",,To create Elasticsearch indexes:<br> <code>./docker-starchat/starchat/scripts/api_test/postIndexManagementCreate.sh</code>,,,,,
index_data,1,0,"band(keyword(""index""), keyword(""data""))",,"There are three kind of data on starchat:
<ul>
  <li>Knowledge Base: contains a dataset wit Questions/Answers and is used by the question/answer recommender.</li>
  <li>Decision Table:  stores the behaviour of the chatbot</li>
  <li>Terms Index: stores the vector representation of terms, this data are needed to use some of the StarChat's semantic analysis features</li>
</ul>

To index data into the Knowledge Base see: <a href=""https://getjenny.github.io/starchat-doc/#configuration-of-the-answer-recommender-knowledge-base"">Configuration of the answer recommender</a>
<br>
To index data into the Decision Table see: <a href=""https://getjenny.github.io/starchat-doc/#configuration-of-the-decisiontable"">Configuration of the Decision Table</a>
<br>
To index terms you can download a pre-trained word2vec model or train a new model by yourself, note that indexing programs only accept a textual format for the input file: <a href=""https://getjenny.github.io/starchat-doc/#indexing-terms-on-term-table"">Indexing of the terms vector dataset</a>",,,,,
index_analyzer,1,0,"band(bor(keyword(""index""),keyword(""load"")), keyword(""analyzer""))",,If you want to re-index the analyzer fields:<br><code>./docker-starchat/starchat/scripts/api_test/postAnalyzer.sh</code>.,,,,,
load_conf_file,1,0,"band(keyword(""load.*""), bor(keyword(""config.*""), band(keyword(""decision""), keyword(""table""))), keyword(""file.*""))",,"Just run:
<br>
<code>./docker-starchat/starchat/bin/index-decision-table --inputfile <em>FILENAME</em></code>.",,,,,
install,1,0,"band(bor(keyword(""setup""), keyword(""install.*"")), bnot(bor(keyword(""standalone""), keyword(""docker""))))",,"Just choose one of the two:
<ul>
<li>docker install (recommended)</li>
<li>standalone install</li>
</ul>",,,,,
standalone_install,1,0,"band(keyword(""standal.*""), keyword(""install""))",,"Have a look at <a href=""https://getjenny.github.io/starchat-doc/#install-without-docker"">how to install without Docker</a>.",show_buttons,"{ ""Excellent"": ""excellent_feedback"", ""Terrible"": ""terrible_feedback"" }",,eval(show_buttons),dont_understand
code_78,1,0,"band(keyword(""code""),keyword(""78""))",,"If elasticsearch complain about the size of the virtual memory:
<br>
<code>max virtual memory areas vm.max_map_count [65530] is too low, increase to at least [262144]</code>
<br>
<code>elastisearch exited with code 78</code>
<br>
run:
<br>
<code>Sysctl -w vm.max_map_count=262144</code>",,,,,
licence,1,0,"bor(band(keyword(""open""), keyword(""source"")), keyword(""opensource""), keyword(""licence""))",,"StarChat is Open Source software, namely released under the General Public Licence 2. More information on the <a href=""http://git.io/*chat"">repository</a>",,,,,
terrible_feedback,1,0,"booleanor(keyword(""idiot""), keyword(""fuck.*""), keyword(""screw""), keyword(""damn.*""), keyword(""asshole""))",,"I might be wrong, but I detected swearing. Cannot answer to that.",,,,,
call_operator,1,0,"band(bor(keyword(""call""),keyword(""talk""),keyword(""speak"")),keyword(""operator""))",,"No operator is available at the moment, sorry. You just have me.",,,,,
any_further,1,0,,,"Let me know if you have any other request, or type 'Bye' to close the chat",,,,,
dont_understand,1,0,,,"I do not understand your input, please try again or type ""help"" to know my capabilities",,,,,
